PLAYER_ID,PLAYER_NAME,USG_PCT
200768,Kyle Lowry,0.088
1642273,Kyshawn George,0.208
1630163,LaMelo Ball,0.311
1642950,Lachlan Olbrich,0.089
1629013,Landry Shamet,0.146
1626204,Larry Nance Jr.,0.13
1628374,Lauri Markkanen,0.266
2544,LeBron James,0.272
1631159,Leonard Miller,0.204
1642862,Liam McNeeley,0.14
1630322,Lindy Waters III,0.12
1628366,Lonzo Ball,0.132
1629652,Luguentz Dort,0.134
1629029,Luka Dončić,0.367
1630568,Luka Garza,0.141
1628379,Luke Kennard,0.129
1628436,Luke Kornet,0.103
1631247,Luke Travers,0.161
1630644,Mac McClung,0.216
1631103,Malaki Branham,0.172
1628370,Malik Monk,0.226
1631204,Marcus Sasser,0.199
203935,Marcus Smart,0.152
1641813,Mark Sears,0.344
1631109,Mark Williams,0.164
1628963,Marvin Bagley III,0.179
203486,Mason Plumlee,0.084
1641824,Matas Buzelis,0.208
1629680,Matisse Thybulle,0.102
1631108,Max Christie,0.153
1628467,Maxi Kleber,0.091
1642875,Maxime Raynaud,0.172
1642877,Micah Peavy,0.142
1630695,Micah Potter,0.149
1629008,Michael Porter Jr.,0.29
1628969,Mikal Bridges,0.168
201144,Mike Conley,0.116
1628970,Miles Bridges,0.233
1642939,Miles Kelly,0.135
1630540,Miles McBride,0.167
1629011,Mitchell Robinson,0.089
1628964,Mo Bamba,0.118
1642885,Mohamed Diawara,0.165
1628420,Monte Morris,0.141
1629021,Moritz Wagner,0.185
1630541,Moses Moody,0.169
1631243,Mouhamed Gueye,0.13
1630619,Moussa Cisse,0.122
1631217,Moussa Diabaté,0.119
1626167,Myles Turner,0.177
1642066,Myron Gardner,0.151
1642368,N'Faly Dante,0.119
1641772,Nae'Qwan Tomlin,0.158
1630230,Naji Marshall,0.175
1629675,Naz Reid,0.214
1629674,Neemias Queta,0.147
1629651,Nic Claxton,0.174
1630208,Nick Richards,0.171
1641733,Nick Smith Jr.,0.2
1629638,Nickeil Alexander-Walker,0.24
201587,Nicolas Batum,0.096
1628502,Nigel Hayes-Davis,0.115
203999,Nikola Jokić,0.292
1631107,Nikola Jović,0.202
202696,Nikola Vučević,0.216
1642363,Nique Clifford,0.146
1642855,Noa Essengue,0.188
1641730,Noah Clowney,0.209
1642869,Noah Penda,0.149
1642849,Nolan Traore,0.171
1626181,Norman Powell,0.264
1628384,OG Anunoby,0.196
1630167,Obi Toppin,0.232
1630534,Ochai Agbaji,0.128
1641765,Olivier-Maxence Prosper,0.153
1630168,Onyeka Okongwu,0.199
1631115,Orlando Robinson,0.081
1631131,Oscar Tshiebwe,0.108
1642345,Oso Ighodaro,0.116
1631172,Ousmane Dieng,0.145
1629023,P.J. Washington,0.204
1641790,PJ Hall,0.168
1642359,Pacôme Dadiet,0.087
1631094,Paolo Banchero,0.269
1627783,Pascal Siakam,0.283
1626192,Pat Connaughton,0.142
1630311,Pat Spencer,0.193
1630172,Patrick Williams,0.161
202331,Paul George,0.222
1630194,Paul Reed,0.184
1630202,Payton Pritchard,0.204
1641796,Pelle Larsson,0.158
1631250,Pete Nance,0.186
1631212,Peyton Watson,0.186
1630173,Precious Achiuwa,0.152
1629656,Quentin Grimes,0.177
1631245,Quenton Jackson,0.194
1642366,Quinten Post,0.182
1629628,RJ Barrett,0.251
1642853,Rasheer Fleming,0.177
